Food,ProductType,FlavorVariant,Calories-kcl,Protein-g,Carb-g,Fiber-g,Sugar-g,Sodium-g,SaturatedFat-g,MonounsaturatedFat-g,PolyunsaturatedFat-g,TransaFat-g,MeasureQuantity,MeasureType,MQCalories-kcl,MQGmWt,MQCalories100gm-kcl
Austin,Cheddar Cheese Crackers,Sandwich-Type,489,7.8,62.6,1.3,14.3,978,5.8,4.9,11,0.3,1,Package,191,39,489
Austin,Cheddar Cheese Crackers,Sandwich-Type,495,7.9,61.4,1.8,14.6,839,6.1,5.3,11.8,0.31,1,Package,193,39,495
Austin,Chocolatey Peanut Butter Crackers,Sandwich-Type,479,7.7,66.2,2,17.3,584,4.1,5.8,9.2,0.23,1,Package,187,39,479
Austin,Grilled Cheese Crackers,Sandwich-Type,493,7.9,62,1.3,12.6,910,5.9,5,11,0.77,1,Package,192,39,493
Austin,Pb & J Crackers,Sandwich-Type,484,7.6,65.7,2,16.7,582,4.5,5.9,9.6,0.25,1,Package,189,39,484
Austin,Peanut Butter Crackers,Sandwich-Type,492,10.8,59,3.2,9,843,3.7,8.4,12,0.15,1,Package,192,39,492
Austin,Peanut Butter Crackers,Sandwich-Type,489,10.6,60.2,3.2,11.6,772,3.6,8.2,8.5,0.14,1,Package,191,39,489
Bagels,Cinnamon-Raisin, Prepared From Recipe,274,9.8,55.2,2.3,6,344,0.3,0.2,0.7,0.49,1,"Mini Bagel, (2-1/2"" Dia)",71,26,274
Bagels,Cinnamon-Raisin,Toasted,294,10.6,59.3,2.5,6.4,370,0.3,0.2,0.7,0.49,1,"Mini Bagel, (2-1/2"" Dia)",71,24,294
Bagels,Egg, Prepared From Recipe,278,10.6,53,2.3,19,505,0.4,0.4,0.6,0.49,1,Oz,79,28,278
Bagels,Oat Bran, Prepared From Recipe,255,10.7,53.3,3.6,1.6,590,0.2,0.2,0.5,0.49,1,"Mini Bagel, (2-1/2"" Dia)",66,26,255
Bagels,Wheat, Prepared From Recipe,250,10.2,48.9,4.1,6.1,439,0,0.3,0.9,0,1,Bagel,245,98,250
Barbara Dee,Winter Mints Cookies, Prepared From Recipe,515,3.9,67.1,2,35.8,290,18,2.7,3.8,0.4,4,Cookies,160,31,515
Bear Naked,Double Chocolate Cookies, Prepared From Recipe,423,6.6,66.9,7,35.2,200,4.1,8.4,4.2,0,1,Cookie,127,30,423
Bear Naked,Fruit & Nut Cookies, Prepared From Recipe,443,7.5,61.6,7.1,29.4,133,5.1,8.5,7.3,0,1,Cookie,133,30,443
Biscuits,Mixed Grain,Refrigerated Dough,263,6.1,47.4,3.33,19,670,1.4,2.9,0.9,0.49,1,Oz,75,28,263
Biscuits,Plain Or Buttermilk,Prepared From Recipe,353,7,44.6,1.5,2.2,580,4.3,6.9,4.2,0.49,1,Oz,100,28,353
Bread,Boston Brown,Canned,195,5.2,43.3,4.7,2.4,631,0.3,0.2,0.6,0.49,1,Oz,55,28,195
Bread,Chapati Or Roti,Plain,297,11.3,46.4,4.9,2.7,409,2,1.9,1.1,0.03,1,Piece,202,68,297
Bread,Cheese, Prepared From Recipe,408,10.4,44.8,2.1,2.1,750,6.3,4.3,9.2,0,1,Slice,196,48,408
Bread,Cornbread,Prepared From Recipe,266,6.7,43.5,3.33,19,658,1.6,1.8,3.2,0.49,1,Oz,75,28,266
Bread,Cracked-Wheat, Prepared From Recipe,260,8.7,49.5,5.5,19,538,0.9,1.9,0.7,0.49,1,Oz,74,28,260
Bread,Egg, Prepared From Recipe,287,9.5,47.8,2.3,1.8,380,1.6,2.3,1.1,0.49,1,Oz,81,28,287
Bread,Egg,Toasted,315,10.5,52.6,2.5,1.9,417,1.6,3,1.1,0.49,1,Oz,89,28,315
Bread,French Or Vienna,Includes Sourdough,272,10.8,51.9,2.2,4.6,602,0.5,0.4,0.9,0.01,1,Oz,77,28,272
Bread,Gluten-Free,White,298,5.4,51.2,5.5,11.3,515,0.6,4.7,2,0.02,1,Slice,83,28,298
Bread,Gluten-Free,Whole Grain,309,7.3,49.1,4.9,9.8,510,0.3,5.4,2.4,0.02,1,Slice,77,25,309
Bread,Irish Soda,Prepared From Recipe,290,6.6,56,2.6,19,398,1.1,2,1.5,0.49,1,Oz,82,28,290
Bread,Italian, Prepared From Recipe,271,8.8,50.1,3.2,3.2,550,0,0.8,1.4,0.49,1,Oz,77,28,271
Bread,Oat Bran, Prepared From Recipe,236,10.4,39.8,4.5,7.7,353,0.7,1.6,1.7,0.49,1,Oz,67,28,236
Bread,Oat Bran,Toasted,259,11.4,43.7,4.9,8.5,387,0.8,1.7,1.9,0.49,1,Oz,73,28,259
Bread,Oatmeal, Prepared From Recipe,269,8.4,48.5,4,8.1,447,0.7,1.6,1.7,0.49,1,Oz,76,28,269
Bread,Oatmeal,Toasted,292,9.2,52.7,4.3,8.8,486,0.8,1.7,1.9,0.49,1,Oz,83,28,292
Bread,Pita,Whole-Wheat,262,9.8,55.9,6.1,2.9,527,0.1,0.2,0.7,0.49,1,"Pita, Large (6-1/2"" Dia)",168,64,262
Bread,Potato, Prepared From Recipe,266,12.5,47.1,6.3,9.4,375,0,0,0,0,1,Slice,85,32,266
Bread,Protein,Includes Gluten,245,12.1,43.8,3,1.4,404,0.3,0.2,1,0.49,1,Oz,69,28,245
Bread,Pumpernickel,Toasted,275,9.5,52.2,7.1,0.6,655,0.5,1,1.4,0.49,1,Oz,78,28,275
Bread,Reduced-Calorie,Oat Bran,201,8,41.3,12,3.5,459,0.4,0.7,1.7,0.49,1,Oz,57,28,201
Bread,Reduced-Calorie,Oatmeal,210,7.6,43.3,3.33,19,388,0.6,0.8,1.4,0.49,1,Oz,60,28,210
Bread,Reduced-Calorie,Rye,203,9.1,40.5,12,2.3,513,0.4,0.7,0.8,0.49,1,Oz,58,28,203
Bread,Reduced-Calorie,Wheat,217,13.3,42.5,11.1,3.7,332,0.8,0.5,1.2,0.05,1,Oz,62,28,217
Bread,Reduced-Calorie,White,207,8.7,44.3,9.7,4.8,479,0.5,1.1,0.6,0.49,1,Oz,59,28,207
Bread,Rice Bran, Prepared From Recipe,243,8.9,43.5,4.9,4.7,269,0.7,1.7,1.8,0.49,1,Oz,69,28,243
Bread,Rice Bran,Toasted,264,9.7,47.3,5.3,5.1,292,0.8,1.8,1.9,0.49,1,Oz,75,28,264
Bread,Wheat, Prepared From Recipe,267,10.7,48.7,4,5.9,508,0.8,0.6,1.5,0.03,1,Oz,76,28,267
Bread,Wheat Bran, Prepared From Recipe,248,8.8,47.8,4,9.7,486,0.8,1.6,0.6,0.49,1,Oz,70,28,248
Bread,Wheat Germ,Toasted,293,10.7,54.3,2.3,4.1,621,0.7,1.4,0.8,0.49,1,Oz,83,28,293
Bread,White Wheat, Prepared From Recipe,238,10.7,43.9,9.2,5,478,0.6,0.4,1,0.03,1,Slice,67,28,238
Bread,White,Commercially Prepared,266,8.9,49.4,2.7,5.7,490,0.7,0.6,1.6,0.03,1,Slice,77,29,266
Bread,White,Prepared From Recipe,285,7.9,49.6,2,19,359,1.2,1.3,2.8,0.49,1,Oz,81,28,285
Bread,White,Prepared From Recipe,274,7.7,53.6,2,19,336,0.4,0.5,1.4,0.49,1,Oz,78,28,274
Bread,Whole-Wheat,Commercially Prepared,252,12.5,42.7,6,4.3,455,0.7,0.6,1.6,0.02,1,Slice,81,32,252
Bread,Whole-Wheat,Prepared From Recipe,278,8.4,51.4,6,3.8,346,0.8,1.2,2.9,0.49,1,Oz,79,28,278
Breakfast Tart,Low Fat, Prepared From Recipe,372,4,76.8,1.5,4.9,361,1.4,3.3,0.9,0.49,1,Tart,193,52,372
Cake,Fruitcake,Commercially Prepared,324,2.9,61.6,3.7,27.4,101,1,4.2,3.3,0.49,1,Oz,92,28,324
Cake,Gingerbread,Prepared From Recipe,356,3.9,49.2,3.33,19,327,4.1,7.1,4.2,0.49,1,Oz,101,28,356
Cake,Pineapple Upside-Down,Prepared From Recipe,319,3.5,50.5,0.8,19,319,2.9,5.2,3.3,0.49,1,Oz,90,28,319
Cake,Pound,Commercially Prepared,283,5.4,61,1.1,34.3,341,0.3,0.2,0.4,0.49,1,Oz,80,28,283
Cake,Shortcake,Biscuit-Type,346,6.1,48.5,3.33,19,506,3.8,6,3.6,0.49,1,Oz,98,28,346
Cake,Snack Cakes,Creme-Filled,399,3.6,60.3,3.2,37.8,332,4.9,8.5,1.8,0.49,1,Oz,113,28,399
Cake,Snack Cakes,Creme-Filled,374,3.5,64,1,37.3,470,4.1,4.9,1.9,1.62,1,Oz,106,28,374
Cake,White,Prepared From Recipe,356,4.4,63.2,1,57.4,284,3.9,3.7,2.2,0.49,1,Oz,101,28,356
Cake,Yellow,Commercially Prepared,391,3,56.2,0.3,41.8,269,2.9,7.6,6.4,0.49,1,Serving,260,67,391
Cheesecake,Prepared From Mix,No-Bake Type,274,5.5,35.5,1.9,19,380,6.7,4.5,0.8,0.49,1,Oz,78,28,274
Cinnamon Buns,Frosted,Includes Honey Buns,452,4.5,48.6,1.2,25.7,305,12.6,8.7,3.7,0.3,1,Bun,260,65,452
Cookies,Butter Or Sugar,With Chocolate Icing Or Filling,503,4.1,68.8,1.9,33.8,348,14.8,2.7,5.1,0.49,3,Cookies,156,31,503
Cookies,Chocolate,With Icing Or Coating,507,4.5,67.9,2.3,32,380,16.5,2.6,3.6,0.37,4,Cookies,162,32,507
Cookies,With Peanut Butter Filling,Chocolate-Coated,562,8.1,52.9,3.5,30.9,371,19.2,8.4,6.3,0.27,2,Cookies,141,25,562
Cookies,Brownies,Commercially Prepared,405,4.8,63.9,2.1,36.6,286,4.2,9,2.3,0.49,1,Oz,115,28,405
Cookies,Brownies,Prepared From Recipe,466,6.2,50.2,3.33,19,343,7.3,10.8,9.4,0.49,1,Oz,132,28,466
Cookies,Butter,Commercially Prepared,467,6.1,68.9,0.8,20.2,282,11.1,5.5,1,0.49,1,Oz,132,28,467
Cookies,Butter,Commercially Prepared,467,6.1,68.9,0.8,19,351,11.1,5.5,1,0.49,1,Oz,132,28,467
Cookies,Chocolate Chip Sandwich,With Creme Filling,425,2.9,63.5,0,38.2,279,5.9,4.5,6.4,0,1,Cookie,145,34,425
Cookies,Chocolate Chip,Commercially Prepared,444,3.6,65.8,1.8,37.1,276,9.8,7,1.8,0.06,1,Cookie,63,14,444
Cookies,Chocolate Chip,Commercially Prepared,450,3.9,73.4,1.6,39.8,244,4.2,6.7,5,0.49,1,Oz,128,28,450
Cookies,Chocolate Chip,Prepared From Recipe,488,5.7,58.2,3.33,19,341,14.1,8.2,4.5,0.49,1,Oz,138,28,488
Cookies,Chocolate Chip,Prepared From Recipe,488,5.7,58.4,2.8,19,361,8.1,10.4,8.4,0.49,1,Oz,138,28,488
Cookies,Chocolate Cream Covered,Biscuit Sticks,447,10,51.1,5,25,213,12.6,2.1,6.7,0.49,1,Serving,179,40,447
Cookies,Chocolate Sandwich,With Creme Filling,436,2.9,76.2,2.9,41.2,471,2.9,4.7,3.4,0,1,Serving,148,34,436
Cookies,Chocolate Sandwich,With Creme Filling,464,5.2,71,2.9,40.7,388,5.6,9.3,3.6,0.11,3,Cookie,167,36,464
Cookies,Chocolate Sandwich,With Creme Filling,461,4.5,68,4.1,19.7,342,4,9.2,7.9,0.49,1,Oz,131,28,461
Cookies,Chocolate Sandwich,With Extra Creme Filling,497,4.3,68.2,2.7,46,351,5.5,16.1,2.5,0.49,1,Oz,141,28,497
Cookies,Chocolate,Made With Rice Cereal,440,3.2,63.3,1.6,40.3,210,11.3,4,3,0,1,Cookie,260,62,440
Cookies, Fortune, Prepared From Recipe,378,4.2,84,1.6,45.4,31,0.7,1.3,0.5,0.49,1,Oz,107,28,378
Cookies, Fudge, Cake-Type (Includes Trolley Cakes),349,5,78.3,2.8,19,192,1.1,1.8,0.5,0.49,1,Oz,99,28,349
Cookies, Gingersnaps, Prepared From Recipe,416,5.6,76.9,2.2,19.9,501,2.5,5.4,1.4,0.49,1,Oz,118,28,416
Cookies, Gluten-Free, Chocolate Sandwich,474,2.2,76,2.5,49,275,7.9,6.1,1.8,0.1,3,Cookies,209,44,474
Cookies, Gluten-Free, Chocolate Wafer,541,4.1,62.8,1.6,41,122,15.3,9.5,2.3,0.1,3,Cookies,124,23,541
Cookies, Gluten-Free, Lemon Wafer,515,0,74.4,0,42.3,111,10.5,8.3,2.7,0.04,3,Cookies,155,30,515
Cookies, Gluten-Free, Vanilla Sandwich,493,2.7,74.6,0.5,46.7,201,7,8.3,2.9,0.06,3,Cookies,217,44,493
Cookies, Graham Crackers, Chocolate-Coated,500,4,66.8,2.2,37.3,265,17.2,2.7,4.9,0.55,3,Pieces,135,27,500
Cookies, Graham Crackers, Plain Or Honey (Includes Cinnamon),430,6.7,77.7,3.4,24.9,459,1.6,2.5,5.4,0.06,1,Oz,122,28,430
Cookies, Graham Crackers, Plain Or Honey,386,5.7,78,5.7,22.9,629,0,1.7,3.4,0,1,Serving,135,35,386
Cookies, Ladyfingers, With Lemon Juice And Rind,365,10.6,59.7,1,25.4,147,3.1,3.8,1.4,0.49,1,Oz,103,28,365
Cookies, Ladyfingers, Without Lemon Juice And Rind,363,10.6,59.7,1,19,147,3,3.7,1.4,0.49,1,Oz,103,28,363
Cookies, Marie Biscuit, Prepared From Recipe,406,7.1,70.5,3.5,21.2,370,5.3,2.7,1.7,0,5,Cookie,114,28,406
Cookies, Marshmallow, Chocolate-Coated (Includes Marshmallow Pies),421,4,67.7,2,44.8,188,4.7,9.3,1.9,0.49,1,Oz,119,28,421
Cookies, Marshmallow, With Rice Cereal And Chocolate Chips,435,4.6,63.3,0,40.9,341,11.4,4.2,1.8,0,1,Bar,96,22,435
Cookies, Molasses, Prepared From Recipe,430,5.6,73.8,1,17.6,459,3.2,7.1,1.7,0.49,1,Oz,122,28,430
Cookies, Oatmeal, Commercially Prepared,450,6.2,68.7,2.8,24.7,383,4.5,10,2.5,0.49,1,Oz,128,28,450
Cookies, Oatmeal, Commercially Prepared,409,6.1,65.7,2.7,19,349,3.6,8,2.2,0.49,1,Oz,116,28,409
Cookies, Oatmeal, Commercially Prepared,449,4.8,69.9,2.9,31.7,273,2.7,7.6,6.8,0.49,1,Oz,127,28,449
Cookies, Oatmeal, Prepared From Recipe,435,6.5,68.4,3.33,19,538,3.2,6.9,5,0.49,1,Oz,123,28,435
Cookies, Oatmeal, Prepared From Recipe,447,6.8,66.4,3.33,19,598,3.6,7.7,5.6,0.49,1,Oz,127,28,447
Cookies, Oatmeal, Reduced Fat,365,4,64.6,16.1,32.1,562,4.1,3.3,2.3,0,1,Cookie,91,25,365
Cookies, Oatmeal, Refrigerated Dough,471,6,65.7,2.8,19,327,5.3,11.7,3,0.49,1,Oz,134,28,471
Cookies, Peanut Butter Sandwich, Regular,478,8.8,65.6,1.9,35.4,368,5,11.2,3.8,0.49,1,Oz,136,28,478
Cookies, Peanut Butter Sandwich, Special Dietary,535,10,50.8,3.33,19,412,4.9,15.4,12,0.49,1,Oz,152,28,535
Cookies, Peanut Butter, Commercially Prepared,473,8.9,58.2,2.1,28.6,463,6.8,10.8,3.6,1.25,1,Oz,134,28,473
Cookies, Peanut Butter, Commercially Prepared,457,5.3,57.7,1.7,19,336,6.1,13.8,3.2,0.49,1,Oz,130,28,457
Cookies, Peanut Butter, Prepared From Recipe,475,9,58.9,3.33,19,518,4.4,10.8,7.2,0.49,1,Oz,135,28,475
Cookies, Peanut Butter, Refrigerated Dough,503,9.1,57.3,1.2,19,436,6.2,14.5,4.9,0.49,1,Oz,143,28,503
Cookies, Raisin, Soft-Type,401,4.1,68,1.2,47.6,418,3.5,7.6,1.8,0.49,1,Oz,114,28,401
Cookies, Shortbread, Commercially Prepared,542,4.9,58.3,1.8,19,281,8.2,18.6,4.1,0.49,1,Oz,154,28,542
Cookies, Shortbread, Commercially Prepared,514,5.4,63.8,1.3,21.7,353,8.1,6.7,8.3,0.71,1,Oz,146,28,514
Cookies, Shortbread, Reduced Fat,451,5.4,76,1.3,21.7,571,4.7,3.1,6.1,0.47,1,Cookie,53,12,451
Cookies, Sugar Wafer, Chocolate-Covered,526,3.5,66,3.4,51.7,138,17.2,4.9,4.2,0,3,Cookie,153,29,526
Cookies, Sugar Wafer, With Creme Filling,531,3.6,66.3,14.3,0,71,4.3,12.1,10.7,0,1,Oz,151,28,531
Cookies, Sugar Wafers With Creme Filling, Regular,502,3.8,70.6,1.6,43,103,11.9,7.7,2.7,0.49,3,Cookies,181,36,502
Cookies, Sugar, Commercially Prepared,464,5.4,67.3,1.3,27.3,385,7.7,7,3.7,0.49,1,Oz,132,28,464
Cookies, Sugar, Prepared From Recipe,472,5.9,60,1.2,24.9,491,4.7,10.2,7.3,0.49,1,Oz,134,28,472
Cookies, Vanilla Sandwich With Creme Filling, Prepared From Recipe,483,4.5,72.1,1.5,39.3,349,3,8.4,7.6,0.49,1,Oz,137,28,483
Crackers,Crackers, Prepared From Recipe,383,9.3,80.9,2.6,0.3,16,0.3,0.2,0.7,0.49,1,Oz,109,28,383
Crackers,Crackers, Reduced Fat,418,10,68.2,3.3,0,1167,3.3,2.1,5.3,0,1,Serving,125,30,418
Crackers,Crackers, Fish-Shaped,463,10.2,65.7,3.1,1.2,970,2.1,10.3,3.9,0.06,10,Goldfish,24,5,463
Crackers,Crackers, Multigrain And Vegetable,456,2.5,76.9,3,3.9,890,5.7,4.9,1.4,0.05,3,Crackers,49,11,456
Crackers,Crackers, Multi-Seeded And Multigrain,453,11.3,66.3,10.2,0.9,438,2.1,7,6,0.02,3,Crackers,28,6,453
Crackers,Crackers, Egg,391,12.3,78.6,2.8,19,21,0.5,0.6,0.5,0.49,0.5,Oz,56,14,391
Crackers,Crackers, Egg And Onion,391,10,77.1,5,19,285,0.9,1,1,0.49,0.5,Oz,56,14,391
Crackers,Crackers, Plain,395,10,83.7,3,0.3,0,0.2,0.1,0.6,0.49,0.5,Oz,56,14,395
Crackers,Crackers, Whole-Wheat,351,13.1,78.9,11.8,19,2,0.2,0.2,0.7,0.49,0.5,Oz,50,14,351
Crackers,Crackers, Rye (Includes Pumpernickel),389,11.6,77.3,8,19,899,0.5,0.9,1.3,0.49,0.5,Oz,55,14,389
Crackers,Crackers, Wheat,374,12.9,76.4,7.4,19,837,0.3,0.5,0.9,0.49,0.5,Oz,53,14,374
Crackers,Crackers, Prepared From Recipe,446,7.6,71.7,3.4,10.3,687,2.9,5.5,4.9,0.49,0.5,Oz,63,14,446
Crackers,Crackers, Prepared From Recipe,482,7.1,67.6,3.5,12,883,3.3,5,11.8,0.19,4,Crackers,67,14,482
Crackers,Crackers, Prepared From Recipe,407,13.5,72.3,3.33,19,253,1.4,2.8,2.3,0.49,0.5,Oz,58,14,407
Crackers,Crackers, Soda,418,9.5,74.1,2.8,1.3,941,1.7,2,4.8,0.17,5,Crackers,62,15,418
Crackers,Crackers, Fat-Free,393,10.5,82.3,2.7,0.4,849,0.2,0.1,0.7,0.49,3,Saltines,59,15,393
Crackers,Crackers, Unsalted Tops (Includes Oyster,434,9.2,71.5,3,19,766,2.9,6.4,1.7,0.49,0.5,Oz,62,14,434
Crackers,Crackers, Whole Wheat (Includes Multi-Grain),398,7.1,68.3,6.7,0,1214,0,2.8,7.2,0,1,Serving,56,14,398
Crackers,Crackers, Peanut Butter Filled,437,8.3,63.5,2.8,11.1,639,2.8,5.6,6.9,0,1,Package,157,36,437
Crackers,Crackers, Low Sodium,442,6.5,67.7,9.7,12.9,177,3.2,3.3,8.6,0,1,Serving,137,31,442
Crackers,Crackers, Reduced Fat,444,9.3,71.5,3.4,15,776,2.1,3.3,7.1,0.2,1,Serving,129,29,444
Crackers,Crackers, Reduced Fat,416,11.3,75.5,10.9,1.2,745,1.1,1.6,3.6,0.1,1,Serving,121,29,416
Cream Puff ,Cream Puff , Prepared From Recipe,360,9,22.8,0.8,0.3,483,5.6,11.1,7.4,0.49,1,Oz,102,28,360
Cream Puff,Cream Puff, Custard Or Cream Filled,334,4.4,37.4,0.9,22.1,265,7.1,6.1,4.2,0,4,Oz,260,113,334
Croutons,Croutons, Prepared From Recipe,407,11.9,73.5,5.1,19,698,1.5,3.1,1.3,0.49,0.5,Oz,58,14,407
Croutons,Croutons, Prepared From Recipe,465,10.8,63.5,5,4.4,1089,5.2,9.5,2.4,0.49,0.5,Oz,66,14,465
Crunchmaster,Crunchmaster, Snack Crackers,456,10.9,67.2,7.5,0.8,370,2.1,7,6,0.02,3,Crackers,18,4,456
Danish Pastry,Danish Pastry, Prepared From Recipe,374,8,37.2,1,7,417,6.8,11.3,2.6,0.49,1,Oz,106,28,374
Danish Pastry,Danish Pastry, Enriched,403,7,44.6,1.3,19.8,414,5.7,12.5,2.9,0.49,1,Oz,114,28,403
Danish Pastry,Danish Pastry, Unenriched,403,7,44.6,1.2,19,371,5.7,12.5,2.9,0.49,1,Oz,114,28,403
Danish Pastry,Danish Pastry, Enriched (Includes Apple,371,5.4,47.8,1.9,27.5,445,4.9,10,2.4,0.49,1,Oz,105,28,371
Danish Pastry,Danish Pastry, Unenriched,371,5.4,47.8,1.9,19,354,2.8,5.9,1.5,0.49,1,Oz,105,28,371
Danish Pastry,Danish Pastry, Raisin Nut,430,7.1,45.7,2,25.9,298,5.8,13.7,4.3,0.49,1,Oz,122,28,430
Doughnuts,Doughnuts, Chocolate,417,4.5,57.4,2.2,31.9,215,5.1,11.3,2.5,0.49,1,Oz,118,28,417
Doughnuts,Doughnuts, Plain (Includes Unsugared,434,5.3,47.1,1.7,18.2,477,11.1,8.5,3.9,0.49,1,Donut,174,40,434
Doughnuts,Doughnuts, Plain,452,4.9,51.3,1.9,26.7,326,13.5,8.6,2,0.49,1,Oz,128,28,452
Doughnuts,Doughnuts, Plain,426,5.2,50.8,1.5,19,402,5.9,12.7,2.9,0.49,1,Oz,121,28,426
Doughnuts,Doughnuts, Glazed,412,3.1,59.5,1.2,35.1,345,4.7,10.4,2.3,0.49,1,Oz,117,28,412
Doughnuts,Doughnuts, Glazed,403,6.4,44.3,1.2,19,342,5.8,12.9,2.9,0.49,1,Oz,114,28,403
Doughnuts,Doughnuts, With Creme Filling,361,6.4,30,0.8,14.6,309,5.4,12.1,3.1,0.49,1,Oz,102,28,361
Doughnuts,Doughnuts, With Jelly Filling,340,5.9,39,0.9,21.1,455,4.8,10.2,2.4,0.49,1,Oz,96,28,340
English Muffins,English Muffins, Prepared From Recipe,235,9.1,46.3,2.8,0.8,298,0.2,0.8,0.6,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Toasted (Includes Granola),255,9.9,50.3,3,0.9,324,0.3,0.9,0.6,0.49,1,Oz,72,28,255
English Muffins,English Muffins, Enriched,227,8.9,44.2,3.5,3.5,425,0.7,0.4,0.5,0,1,Oz,64,28,227
English Muffins,English Muffins, Enriched,235,7.7,46,2.7,19,464,0.3,0.3,0.9,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Toasted,270,10.3,52.7,2.8,3.5,477,0.5,0.5,0.9,0,1,Oz,77,28,270
English Muffins,English Muffins, Unenriched,235,7.7,46,2.7,19,464,0.3,0.3,0.9,0.49,1,Oz,67,28,235
English Muffins,English Muffins, Prepared From Recipe,240,7.9,48.1,2.6,14.8,299,0.5,0.8,0.3,0,1,Oz,68,28,240
English Muffins,English Muffins, Toasted (Includes Apple-Cinnamon),276,8.9,55,3,13.3,342,0.6,1.1,0.5,0,1,Oz,78,28,276
English Muffins,English Muffins, Prepared From Recipe,223,8.7,44.8,4.6,1.6,353,0.3,0.3,0.8,0.49,1,Oz,63,28,223
English Muffins,English Muffins, Toasted,243,9.4,48.7,5,1.7,384,0.3,0.3,0.9,0.49,1,Oz,69,28,243
English Muffins,English Muffins, Prepared From Recipe,203,8.8,40.4,6.7,8.1,364,0.3,0.5,0.8,0.49,1,Oz,58,28,203
English Muffins,English Muffins, Toasted,221,9.6,44.1,7.3,8.8,396,0.4,0.6,0.9,0.49,1,Oz,63,28,221
Famous Amos,Famous Amos, Prepared From Recipe,503,4.5,67.7,2.8,32.4,359,9.6,5.8,7.1,0.29,4,Cookies,146,29,503
Famous Amos,Famous Amos, Prepared From Recipe,519,5.8,63.8,3.3,31.8,356,9.7,8.1,7.4,0.2,4,Cookies,151,29,519
Famous Amos,Famous Amos, Prepared From Recipe,474,4.3,72.3,2.2,40.4,420,6.4,4.4,6.9,0.27,3,Cookies,161,34,474
Famous Amos,Famous Amos, Prepared From Recipe,485,4.9,73.8,1.3,37.2,260,6.3,4.4,7.2,0.28,3,Cookies,165,34,485
Focaccia,Focaccia, Plain,249,8.8,35.8,1.8,1.8,561,0.9,5.7,1,0,1,Piece,142,57,249
